dates,region,department,commune,Idps,MenaeIdp,IdpReturn,MenaeReturnIdp,ReturnEtrangerMenages,ReturnEtrangerIndividus,autochtone,autochtoneMenages,RessortissantsPaysTiersMenage,RessortissantsPaysTiersIndi,RefugeesMenages,RefugeesIndi
2022-05-31,Diffa,N'Guigmi,Kabalewa,322,72,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,330,72,0,0,30,0,0,0,0,0,50,200
2022-05-31,Diffa,Diffa,Diffa,0,0,0,0,47,0,0,0,0,0,23,92
2022-05-31,Diffa,Diffa,Gueskerou,270,60,0,0,40,0,0,0,0,0,30,120
2022-05-31,Diffa,Diffa,Gueskerou,275,60,0,0,40,0,0,0,0,0,30,120
2022-05-31,Diffa,Diffa,Chetimari,188,42,0,0,15,0,0,0,0,0,40,160
2022-05-31,Diffa,Maïné Soroa,Maine Soroa,13,2,0,0,0,0,280,280,0,0,8,61
2022-05-31,Diffa,Diffa,Chetimari,322,72,0,0,0,0,0,0,0,0,10,30
2022-05-31,Diffa,Diffa,Diffa,113,24,0,0,10,0,2450,2450,0,0,20,80
2022-05-31,Diffa,Diffa,Diffa,0,0,0,0,0,0,0,0,0,0,428,1712
2022-05-31,Diffa,Diffa,Diffa,2632,584,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Diffa,0,0,0,0,0,0,0,0,0,0,52,360
2022-05-31,Diffa,Diffa,Diffa,0,0,0,0,0,0,0,0,0,0,276,1104
2022-05-31,Diffa,Diffa,Diffa,0,0,0,0,0,0,0,0,0,0,0,119
2022-05-31,Diffa,Diffa,Diffa,0,0,0,0,0,0,0,0,0,0,64,256
2022-05-31,Diffa,Diffa,Gueskerou,141,30,0,0,0,0,1442,1442,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,362,80,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,216,48,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,189,42,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,812,179,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Diffa,215,48,0,0,100,0,0,0,0,0,120,480
2022-05-31,Diffa,Diffa,Diffa,0,0,0,0,0,0,0,0,0,0,250,1000
2022-05-31,Diffa,Diffa,Gueskerou,1491,332,0,0,15,0,0,0,0,0,50,200
2022-05-31,Diffa,Diffa,Diffa,154,33,0,0,80,0,1750,1750,0,0,115,460
2022-05-31,Diffa,N'Guigmi,Kabalewa,10718,2382,1400,200,60,1400,14000,14000,69,483,100,400
2022-05-31,Diffa,N'Guigmi,Nguigmi,326,72,700,66,66,700,0,0,70,490,336,2356
2022-05-31,Diffa,N'Guigmi,Kabalewa,811,181,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,162,36,0,0,10,0,770,770,0,0,60,240
2022-05-31,Diffa,Diffa,Diffa,0,0,0,0,0,0,0,0,0,0,500,2000
2022-05-31,Diffa,Diffa,Diffa,809,180,0,0,50,0,2000,2000,0,0,500,2500
2022-05-31,Diffa,N'Guigmi,Kabalewa,812,180,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Kabalewa,268,60,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Kabalewa,276,60,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Diffa,219,48,0,0,0,0,5600,5600,0,0,100,400
2022-05-31,Diffa,Diffa,Gueskerou,4050,900,350,50,0,350,20,20,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,410,90,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,1349,300,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Gueskerou,326,72,0,0,0,0,0,0,0,0,500,2000
2022-05-31,Diffa,Diffa,Diffa,133,30,700,100,0,700,0,0,0,0,180,720
2022-05-31,Diffa,Diffa,Diffa,221,48,140,20,0,140,210,210,0,0,40,160
2022-05-31,Diffa,Diffa,Diffa,269,60,0,0,0,0,0,0,0,0,250,1000
2022-05-31,Diffa,Diffa,Diffa,164,36,350,50,0,350,0,0,0,0,200,800
2022-05-31,Diffa,Bosso,Bosso,538,120,350,50,50,350,2800,2800,50,350,500,2000
2022-05-31,Diffa,Bosso,Bosso,411,90,0,0,2,0,560,560,0,0,30,120
2022-05-31,Diffa,Bosso,Bosso,273,60,70,10,20,70,210,210,0,0,70,280
2022-05-31,Diffa,N'Guigmi,Kabalewa,405,90,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,Diffa,Diffa,411,90,0,0,0,0,0,0,0,0,20,100
2022-05-31,Diffa,Diffa,Diffa,813,180,0,0,0,0,0,0,0,0,70,200
2022-05-31,Diffa,Diffa,Gueskerou,43,10,0,0,0,0,224,224,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Kabalewa,0,0,140,20,0,140,350,350,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Nguigmi,547,122,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Nguigmi,677,150,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Nguigmi,538,120,0,0,30,0,6090,6090,0,0,100,400
2022-05-31,Diffa,N'Guigmi,Nguigmi,681,150,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Nguigmi,206,45,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Kabalewa,810,180,0,0,0,0,0,0,0,0,0,0
2022-05-31,Diffa,N'Guigmi,Kabalewa,1355,300,1400,200,50,1400,0,0,0,0,250,1000
2022-05-31,Diffa,Diffa,Gueskerou,1174,261,0,0,0,0,0,0,0,0,140,560
2022-05-31,Diffa,Diffa,Diffa,812,180,0,0,0,0,0,0,0,0,400,1600
2022-05-31,Diffa,Diffa,Diffa,538,120,0,0,0,0,0,0,0,0,50,200
2022-05-31,Diffa,Diffa,Diffa,410,90,0,0,0,0,0,0,0,0,100,400
2022-05-31,Diffa,Diffa,Diffa,1079,240,0,0,0,0,0,0,0,0,300,1200
2022-05-31,Diffa,Diffa,Diffa,542,120,0,0,0,0,0,0,0,0,100,400
2022-05-31,Diffa,Diffa,Diffa,2698,600,0,0,0,0,0,0,0,0,3000,12000
2022-05-31,Diffa,Diffa,Diffa,546,120,0,0,0,0,0,0,0,0,20,80
