dates,region,department,commune,IdpsInd,IdpReturn,ReturnFromOutsideBorder,Refugees,RessortissantPaysTiers
2022-05-30,Maradi,Guidan Roumdji,Tibiri,245,0,0,0,0
2022-05-30,Maradi,Madarounfa,Gabi,21,0,0,280,0
2022-05-30,Maradi,Madarounfa,Gabi,63,412,412,210,0
2022-05-30,Maradi,Madarounfa,Gabi,14,0,0,116,0
2022-05-30,Maradi,Madarounfa,Gabi,0,0,0,105,0
2022-05-30,Maradi,Madarounfa,Gabi,100,0,0,1412,0
2022-05-30,Maradi,Madarounfa,Gabi,518,0,0,938,0
2022-05-30,Maradi,Madarounfa,Gabi,0,0,0,130,0
2022-05-30,Maradi,Madarounfa,Gabi,162,0,0,337,0
2022-05-30,Maradi,Madarounfa,Gabi,420,0,0,105,0
2022-05-30,Maradi,Madarounfa,Gabi,200,105,105,1,0
2022-05-30,Maradi,Madarounfa,Gabi,42,0,0,0,0
2022-05-30,Maradi,Madarounfa,Gabi,67,0,0,0,0
2022-05-30,Maradi,Madarounfa,Gabi,0,0,0,17,0
2022-05-30,Maradi,Madarounfa,Gabi,35,0,0,251,0
2022-05-30,Maradi,Madarounfa,Gabi,350,0,0,375,0
2022-05-30,Maradi,Madarounfa,Gabi,63,0,0,105,0
2022-05-30,Maradi,Madarounfa,Gabi,700,0,0,128,0
2022-05-30,Maradi,Madarounfa,Gabi,50,0,0,539,0
2022-05-30,Maradi,Madarounfa,Gabi,0,0,0,210,0
2022-05-30,Maradi,Madarounfa,Gabi,105,0,0,70,0
2022-05-30,Maradi,Madarounfa,Gabi,70,1400,1400,35,0
2022-05-30,Maradi,Madarounfa,Gabi,35,0,0,2100,0
2022-05-30,Maradi,Madarounfa,Gabi,259,0,0,329,0
2022-05-30,Maradi,Madarounfa,Gabi,0,0,0,5,0
2022-05-30,Maradi,Madarounfa,Gabi,120,140,140,820,0
2022-05-30,Maradi,Madarounfa,Gabi,91,0,0,7,0
2022-05-30,Maradi,Madarounfa,Gabi,385,0,0,20,0
2022-05-30,Maradi,Madarounfa,Gabi,210,0,0,49,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,181,0,0,1281,175
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,1245,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,140,0,0,160,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Sori,98,14,14,8,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,567,0,0,1025,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,210,315,315,140,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,35,0,0,10,30
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,68,0,0,150,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,8,0,0,60,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,105,0,0,140,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Sori,0,0,0,49,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Sori,0,0,0,49,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,147,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,399,0,0,182,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,490,0,0,840,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,60,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,245,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,371,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,210,0,0,247,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,210,0,0,70,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,420,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,280,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,1890,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,700,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,315,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,70,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,140,0,0,210,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,350,0,0,175,0
2022-05-30,Maradi,Madarounfa,Sarkin Yamma,280,0,0,0,0
2022-05-30,Maradi,Madarounfa,Sarkin Yamma,280,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Sori,280,0,0,0,0
2022-05-30,Maradi,Madarounfa,Safo,7,0,0,0,0
2022-05-30,Maradi,Madarounfa,Safo,140,0,0,0,0
2022-05-30,Maradi,Madarounfa,Dan Issa,56,0,0,1050,0
2022-05-30,Maradi,Madarounfa,Madarounfa,300,0,0,14,0
2022-05-30,Maradi,Madarounfa,Madarounfa,854,0,0,49,0
2022-05-30,Maradi,Madarounfa,Madarounfa,0,0,0,0,0
2022-05-30,Maradi,Madarounfa,Dan Issa,0,0,0,147,0
2022-05-30,Maradi,Madarounfa,Sarkin Yamma,700,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,364,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,56,0,0,63,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,30,0,0,28,0
2022-05-30,Maradi,Guidan Roumdji,Tibiri,70,0,0,2100,0
2022-05-30,Maradi,Madarounfa,Sarkin Yamma,350,70,70,0,0
2022-05-30,Maradi,Madarounfa,Safo,245,0,0,0,0
2022-05-30,Maradi,Madarounfa,Dan Issa,0,0,0,350,0
2022-05-30,Maradi,Madarounfa,Dan Issa,0,0,0,420,0
2022-05-30,Maradi,Madarounfa,Djirataoua,0,0,0,21,0
2022-05-30,Maradi,Madarounfa,Madarounfa,413,0,0,98,0
2022-05-30,Maradi,Madarounfa,Madarounfa,26,0,0,1440,0
2022-05-30,Maradi,Madarounfa,Madarounfa,140,0,0,21,0
2022-05-30,Maradi,Madarounfa,Madarounfa,0,0,0,0,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Roumdji,0,0,0,140,0
2022-05-30,Maradi,Guidan Roumdji,Guidan Sori,315,0,0,1050,0
2022-05-30,Maradi,Madarounfa,Sarkin Yamma,245,0,0,0,0
2022-05-30,Maradi,Madarounfa,Safo,1120,4900,4900,8,0
2022-05-30,Maradi,Madarounfa,Madarounfa,56,0,0,42,0
2022-05-30,Maradi,Madarounfa,Gabi,84,0,0,490,0
2022-05-30,Maradi,Madarounfa,Gabi,0,140,140,91,0
2022-05-30,Maradi,Madarounfa,Gabi,35,0,0,35,0
2022-05-30,Maradi,Madarounfa,Safo,0,0,0,14,0
2022-05-30,Maradi,Madarounfa,Dan Issa,0,0,0,49,0
2022-05-30,Maradi,Madarounfa,Gabi,287,0,0,148,0
2022-05-30,Maradi,Madarounfa,Madarounfa,0,0,0,490,0
2022-05-30,Maradi,Madarounfa,Madarounfa,42,0,0,57,0
2022-05-30,Maradi,Madarounfa,Gabi,150,0,0,800,0
2022-05-30,Maradi,Madarounfa,Gabi,45,0,0,4,0
2022-05-30,Maradi,Madarounfa,Gabi,112,0,0,0,0
2022-05-30,Maradi,Madarounfa,Safo,350,350,350,450,0
2022-05-30,Maradi,Madarounfa,Gabi,70,15,15,805,0
2022-05-30,Maradi,Madarounfa,Sarkin Yamma,280,0,0,0,0
2022-05-30,Tahoua,Tassara,Tassara,939,0,0,0,0
2022-05-30,Tahoua,Tassara,Tassara,5475,0,0,0,0
2022-05-30,Tahoua,Tassara,Tassara,6406,0,0,0,0
2022-05-30,Tahoua,Tassara,Tassara,450,0,0,0,0
2022-05-30,Tahoua,Tillia,Tillia,1820,0,0,350,0
2022-05-30,Tahoua,Tillia,Tillia,350,0,0,140,0
2022-05-30,Tahoua,Tillia,Tillia,700,0,0,0,0
2022-05-30,Tahoua,Tillia,Tillia,2800,980,980,0,0
2022-05-30,Tahoua,Tillia,Tillia,0,84,84,0,0
2022-05-30,Tahoua,Tillia,Tillia,350,350,350,0,0
2022-05-30,Tahoua,Tillia,Tillia,13785,0,0,9626,0
2022-05-30,Tahoua,Tillia,Tillia,840,0,0,1001,0
2022-05-30,Tahoua,Tillia,Tillia,1050,350,350,0,0
2022-05-30,Tahoua,Tillia,Tillia,700,350,350,0,0
2022-05-30,Tahoua,Madaoua,Bangui,0,0,0,600,0
2022-05-30,Tahoua,Madaoua,Bangui,280,0,0,700,0
2022-05-30,Tahoua,Madaoua,Bangui,0,238,238,168,168
2022-05-30,Tahoua,Bagaroua,Bagaroua,184,0,0,0,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,296,320,320,0,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,0,11,11,37,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,0,0,0,140,0
2022-05-30,Tahoua,Bagaroua,Bagaroua,41,6,6,42,0
2022-05-30,Tahoua,Madaoua,Bangui,199,21,21,593,8
2022-05-30,Tahoua,Madaoua,Bangui,259,85,85,315,210
2022-05-30,Tahoua,Madaoua,Bangui,0,0,0,497,0
2022-05-30,Tahoua,Madaoua,Bangui,0,0,0,280,0
